,image_name,source_file,image_index,status,t_device_seg_s,t_preprocess_s,t_inference_s,t_analysis_s,t_pipeline_s,t_job_wall_s
0,17.03.26 flow high vs low 6million day 7_img0_Valve 8,17.03.26 flow high vs low 6million day 7.lif,0,OK,93.1,76.5,1722.6,124.7,1945.0,2068.3
1,17.03.26 flow high vs low 6million day 7_img1_Valve 1,17.03.26 flow high vs low 6million day 7.lif,1,OK,104.2,90.2,1756.0,83.9,1947.5,2061.0
2,17.03.26 flow high vs low 6million day 7_img2_Valve 2,17.03.26 flow high vs low 6million day 7.lif,2,OK,108.5,100.0,1882.0,76.0,2074.0,2185.9
3,17.03.26 reservoirs 6million day 7_img0_Reservoir 1,17.03.26 reservoirs 6million day 7.lif,0,OK,121.6,103.2,1911.1,98.3,2133.1,2265.2
4,17.03.26 reservoirs 6million day 7_img1_Reservoir 2,17.03.26 reservoirs 6million day 7.lif,1,OK,112.0,111.3,1983.8,124.4,2240.6,2357.5
5,17.03.26 reservoirs 6million day 7_img2_Reservoir 4,17.03.26 reservoirs 6million day 7.lif,2,OK,111.7,83.5,1460.9,122.3,1687.2,1804.5
6,17.03.26 reservoirs 6million day 7_img3_Reservoir 5,17.03.26 reservoirs 6million day 7.lif,3,OK,119.3,109.9,1950.6,72.6,2150.0,2272.9
7,17.03.26 reservoirs 6million day 7_img4_Reservoir 6,17.03.26 reservoirs 6million day 7.lif,4,OK,114.3,101.7,1837.8,84.9,2041.1,2159.0
8,17.03.26 reservoirs 6million day 7_img5_Reservoir 7,17.03.26 reservoirs 6million day 7.lif,5,OK,110.4,118.7,1736.6,36.3,1901.7,2020.3
9,17.03.26 reservoirs 6million day 7_img6_Reservoir 8,17.03.26 reservoirs 6million day 7.lif,6,OK,109.9,84.2,1459.2,64.4,1622.8,1741.0
10,17.03.26 static 6 million day 7 small_img0_Static 1,17.03.26 static 6 million day 7 small.lif,0,OK,111.5,87.2,1730.9,102.6,1940.0,2061.3
11,17.03.26 static 6 million day 7 small_img1_Static 2,17.03.26 static 6 million day 7 small.lif,1,OK,112.3,87.4,1701.2,82.4,1888.7,2010.9
35,18.02.26 reservoirs 6million day 7_img5_Res 7,18.02.26 reservoirs 6million day 7.lif,5,OK,129.4,81.1,1049.9,90.3,1233.5,1372.1
36,18.02.26 reservoirs 6million day 7_img6_Res 8,18.02.26 reservoirs 6million day 7.lif,6,OK,93.3,81.0,1039.3,87.7,1219.7,1318.4
37,18.02.26 static 6million day 7_img0_Static 2,18.02.26 static 6million day 7.lif,0,OK,124.4,94.7,1181.2,67.7,1355.8,1485.8
38,18.02.26 static 6million day 7_img1_Static 3,18.02.26 static 6million day 7.lif,1,OK,110.4,72.8,986.8,88.4,1161.2,1277.4
39,18.02.26 static 6million day 7_img2_Static 5,18.02.26 static 6million day 7.lif,2,OK,125.1,100.3,1271.3,80.6,1465.5,1596.3
40,18.02.26 static 6million day 7_img3_Static 8,18.02.26 static 6million day 7.lif,3,OK,133.3,104.9,1299.8,121.9,1541.4,1680.3
41,19.03.26 flow high vs low 6million day 9(7)_img0_Valve 2,19.03.26 flow high vs low 6million day 9(7).lif,0,OK,115.0,91.2,1134.5,58.1,1294.0,1415.2
42,19.03.26 flow high vs low 6million day 9(7)_img1_Valve 3,19.03.26 flow high vs low 6million day 9(7).lif,1,OK,108.4,85.8,1096.3,84.5,1279.0,1393.0
43,19.03.26 flow high vs low 6million day 9(7)_img2_Valve 5,19.03.26 flow high vs low 6million day 9(7).lif,2,OK,111.3,89.5,1100.7,56.3,1256.9,1375.0
44,19.03.26 flow high vs low 6million day 9(7)_img3_Valve 6,19.03.26 flow high vs low 6million day 9(7).lif,3,OK,108.5,87.4,1105.4,70.6,1274.5,1388.6
